NU_MATRICULA_EFPC;ID_DEMONSTRACAO_ATUARIAL;NU_CNPB_PLANO_DA;QTD_PART_ATIVOS;VR_FOLHA_SAL;QTD_GRUPOS
2258;2685047;2000004474;4905;253204231;1
2258;2685050;2017001074;2293;161371077;1
2258;2685061;2007003465;362;35005935.12;4
2258;2685064;2019001365;581;64425532;2
2258;2685067;2015000518;5254;160368876.3;1
2258;2685072;2008000338;54;9611035.2;1
2258;2685074;2006000683;566;90297505.87;1
2258;2685077;1994001747;1943;102771769.4;2
2258;2685080;1996000829;1488;358612897;1
2258;2685084;1981001565;290;11288310;1
2258;2685087;2012001319;122;7876370.19;1
2258;2685090;2001000618;38;0;1
2258;2685093;2006006411;85;532917.71;1
2258;2685098;2006001647;7324;387612240.6;2
2258;2685101;1996002147;654;45009794.31;1
2258;2685111;2017001147;1850;132366224;1
2258;2685114;1990000118;3718;222683553.4;1
2258;2685117;1995000183;434;37297393.68;1
2258;2685119;1992000492;164;2955078.48;1
2258;2685123;1989000118;292;47850924.03;3
2258;2685126;1989000738;558;26263301.88;1
2258;2685143;2007002256;178;31781377.68;1
2258;2685146;1998002365;574;62190925.92;1
2258;2685157;1994001356;775;50230989;1
2258;2685165;1996002465;1165;121280341.9;1
2258;2685169;1999000765;72;7710947;1
2258;2685177;2007000547;23;0;1
2258;2685181;2018001256;441;33413326;1
2258;2685185;2008001792;2065;122538162.4;1
2258;2685191;2005005411;354;8306798.28;1
2258;2685195;2005005347;47;1578480.24;1
2258;2685206;1993003029;360;31784813.52;2
2258;2685218;1999003829;211;38288340.72;1
